  | SPACE! | EXCLAMATION MARK" | QUOTATION MARK# | NUMBER SIGN$ | DOLLAR SIGN% | PERCENT SIGN& | AMPERSAND' | APOSTROPHE( | LEFT PARENTHESIS) | RIGHT PARENTHESIS* | ASTERISK+ | PLUS SIGN, | COMMA- | HYPHEN-MINUS. | FULL STOP/ | SOLIDUS0 | DIGIT ZERO1 | DIGIT ONE2 | DIGIT TWO3 | DIGIT THREE4 | DIGIT FOUR5 | DIGIT FIVE6 | DIGIT SIX7 | DIGIT SEVEN8 | DIGIT EIGHT9 | DIGIT NINE: | COLON; | SEMICOLON< | LESS-THAN SIGN= | EQUALS SIGN> | GREATER-THAN SIGN? | QUESTION MARK@ | COMMERCIAL ATA | LATIN CAPITAL LETTER AB | LATIN CAPITAL LETTER BC | LATIN CAPITAL LETTER CD | LATIN CAPITAL LETTER DE | LATIN CAPITAL LETTER EF | LATIN CAPITAL LETTER FG | LATIN CAPITAL LETTER GH | LATIN CAPITAL LETTER HI | LATIN CAPITAL LETTER IJ | LATIN CAPITAL LETTER JK | LATIN CAPITAL LETTER KL | LATIN CAPITAL LETTER LM | LATIN CAPITAL LETTER MN | LATIN CAPITAL LETTER NO | LATIN CAPITAL LETTER OP | LATIN CAPITAL LETTER PQ | LATIN CAPITAL LETTER QR | LATIN CAPITAL LETTER RS | LATIN CAPITAL LETTER ST | LATIN CAPITAL LETTER TU | LATIN CAPITAL LETTER UV | LATIN CAPITAL LETTER VW | LATIN CAPITAL LETTER WX | LATIN CAPITAL LETTER XY | LATIN CAPITAL LETTER YZ | LATIN CAPITAL LETTER Z[ | LEFT SQUARE BRACKET\ | REVERSE SOLIDUS] | RIGHT SQUARE BRACKET^ | CIRCUMFLEX ACCENT_ | LOW LINE` | GRAVE ACCENTa | LATIN SMALL LETTER Ab | LATIN SMALL LETTER Bc | LATIN SMALL LETTER Cd | LATIN SMALL LETTER De | LATIN SMALL LETTER Ef | LATIN SMALL LETTER Fg | LATIN SMALL LETTER Gh | LATIN SMALL LETTER Hi | LATIN SMALL LETTER Ij | LATIN SMALL LETTER Jk | LATIN SMALL LETTER Kl | LATIN SMALL LETTER Lm | LATIN SMALL LETTER Mn | LATIN SMALL LETTER No | LATIN SMALL LETTER Op | LATIN SMALL LETTER Pq | LATIN SMALL LETTER Qr | LATIN SMALL LETTER Rs | LATIN SMALL LETTER St | LATIN SMALL LETTER Tu | LATIN SMALL LETTER Uv | LATIN SMALL LETTER Vw | LATIN SMALL LETTER Wx | LATIN SMALL LETTER Xy | LATIN SMALL LETTER Yz | LATIN SMALL LETTER Z{ | LEFT CURLY BRACKET| | VERTICAL LINE} | RIGHT CURLY BRACKET~ | TILDE  | NO-BREAK SPACE¡ | INVERTED EXCLAMATION MARK¢ | CENT SIGN£ | POUND SIGN¤ | CURRENCY SIGN¥ | YEN SIGN¦ | BROKEN BAR§ | SECTION SIGN¨ | DIAERESIS© | COPYRIGHT SIGNª | FEMININE ORDINAL INDICATOR« | LEFT-POINTING DOUBLE ANGLE QUOTATION MARK¬ | NOT SIGN­ | SOFT HYPHEN® | REGISTERED SIGN¯ | MACRON° | DEGREE SIGN± | PLUS-MINUS SIGN² | SUPERSCRIPT TWO³ | SUPERSCRIPT THREE´ | ACUTE ACCENTµ | MICRO SIGN¶ | PILCROW SIGN· | MIDDLE DOT¸ | CEDILLA¹ | SUPERSCRIPT ONEº | MASCULINE ORDINAL INDICATOR» | RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK¼ | VULGAR FRACTION ONE QUARTER½ | VULGAR FRACTION ONE HALF¾ | VULGAR FRACTION THREE QUARTERS¿ | INVERTED QUESTION MARKÀ | LATIN CAPITAL LETTER A WITH GRAVEÁ | LATIN CAPITAL LETTER A WITH ACUTEÂ | LATIN CAPITAL LETTER A WITH CIRCUMFLEXÃ | LATIN CAPITAL LETTER A WITH TILDEÄ | LATIN CAPITAL LETTER A WITH DIAERESISÅ | LATIN CAPITAL LETTER A WITH RING ABOVEÆ | LATIN CAPITAL LETTER AEÇ | LATIN CAPITAL LETTER C WITH CEDILLAÈ | LATIN CAPITAL LETTER E WITH GRAVEÉ | LATIN CAPITAL LETTER E WITH ACUTEÊ | LATIN CAPITAL LETTER E WITH CIRCUMFLEXË | LATIN CAPITAL LETTER E WITH DIAERESISÌ | LATIN CAPITAL LETTER I WITH GRAVEÍ | LATIN CAPITAL LETTER I WITH ACUTEÎ | LATIN CAPITAL LETTER I WITH CIRCUMFLEXÏ | LATIN CAPITAL LETTER I WITH DIAERESISÐ | LATIN CAPITAL LETTER ETHÑ | LATIN CAPITAL LETTER N WITH TILDEÒ | LATIN CAPITAL LETTER O WITH GRAVEÓ | LATIN CAPITAL LETTER O WITH ACUTEÔ | LATIN CAPITAL LETTER O WITH CIRCUMFLEXÕ | LATIN CAPITAL LETTER O WITH TILDEÖ | LATIN CAPITAL LETTER O WITH DIAERESIS× | MULTIPLICATION SIGNØ | LATIN CAPITAL LETTER O WITH STROKEÙ | LATIN CAPITAL LETTER U WITH GRAVEÚ | LATIN CAPITAL LETTER U WITH ACUTEÛ | LATIN CAPITAL LETTER U WITH CIRCUMFLEXÜ | LATIN CAPITAL LETTER U WITH DIAERESISÝ | LATIN CAPITAL LETTER Y WITH ACUTEÞ | LATIN CAPITAL LETTER THORNß | LATIN SMALL LETTER SHARP Sà | LATIN SMALL LETTER A WITH GRAVEá | LATIN SMALL LETTER A WITH ACUTEâ | LATIN SMALL LETTER A WITH CIRCUMFLEXã | LATIN SMALL LETTER A WITH TILDEä | LATIN SMALL LETTER A WITH DIAERESISå | LATIN SMALL LETTER A WITH RING ABOVEæ | LATIN SMALL LETTER AEç | LATIN SMALL LETTER C WITH CEDILLAè | LATIN SMALL LETTER E WITH GRAVEé | LATIN SMALL LETTER E WITH ACUTEê | LATIN SMALL LETTER E WITH CIRCUMFLEXë | LATIN SMALL LETTER E WITH DIAERESISì | LATIN SMALL LETTER I WITH GRAVEí | LATIN SMALL LETTER I WITH ACUTEî | LATIN SMALL LETTER I WITH CIRCUMFLEXï | LATIN SMALL LETTER I WITH DIAERESISð | LATIN SMALL LETTER ETHñ | LATIN SMALL LETTER N WITH TILDEò | LATIN SMALL LETTER O WITH GRAVEó | LATIN SMALL LETTER O WITH ACUTEô | LATIN SMALL LETTER O WITH CIRCUMFLEXõ | LATIN SMALL LETTER O WITH TILDEö | LATIN SMALL LETTER O WITH DIAERESIS÷ | DIVISION SIGNø | LATIN SMALL LETTER O WITH STROKEù | LATIN SMALL LETTER U WITH GRAVEú | LATIN SMALL LETTER U WITH ACUTEû | LATIN SMALL LETTER U WITH CIRCUMFLEXü | LATIN SMALL LETTER U WITH DIAERESISý | LATIN SMALL LETTER Y WITH ACUTEþ | LATIN SMALL LETTER THORNÿ | LATIN SMALL LETTER Y WITH DIAERESISŒ | LATIN CAPITAL LIGATURE OEœ | LATIN SMALL LIGATURE OEŠ | LATIN CAPITAL LETTER S WITH CARONš | LATIN SMALL LETTER S WITH CARONŸ | LATIN CAPITAL LETTER Y WITH DIAERESISŽ | LATIN CAPITAL LETTER Z WITH CARONž | LATIN SMALL LETTER Z WITH CARONƒ | LATIN SMALL LETTER F WITH HOOKˆ | MODIFIER LETTER CIRCUMFLEX ACCENT˜ | SMALL TILDE– | EN DASH— | EM DASH‘ | LEFT SINGLE QUOTATION MARK’ | RIGHT SINGLE QUOTATION MARK‚ | SINGLE LOW-9 QUOTATION MARK“ | LEFT DOUBLE QUOTATION MARK” | RIGHT DOUBLE QUOTATION MARK„ | DOUBLE LOW-9 QUOTATION MARK† | DAGGER‡ | DOUBLE DAGGER• | BULLET… | HORIZONTAL ELLIPSIS‰ | PER MILLE SIGN‹ | SINGLE LEFT-POINTING ANGLE QUOTATION MARK› | SINGLE RIGHT-POINTING ANGLE QUOTATION MARK€ | EURO SIGN™ | TRADE MARK SIGN  | SPACE
! | EXCLAMATION MARK
" | QUOTATION MARK
# | NUMBER SIGN
$ | DOLLAR SIGN
% | PERCENT SIGN
& | AMPERSAND
' | APOSTROPHE
( | LEFT PARENTHESIS
) | RIGHT PARENTHESIS
* | ASTERISK
+ | PLUS SIGN
, | COMMA
- | HYPHEN-MINUS
. | FULL STOP
/ | SOLIDUS
0 | DIGIT ZERO
1 | DIGIT ONE
2 | DIGIT TWO
3 | DIGIT THREE
4 | DIGIT FOUR
5 | DIGIT FIVE
6 | DIGIT SIX
7 | DIGIT SEVEN
8 | DIGIT EIGHT
9 | DIGIT NINE
: | COLON
; | SEMICOLON
< | LESS-THAN SIGN
= | EQUALS SIGN
> | GREATER-THAN SIGN
? | QUESTION MARK
@ | COMMERCIAL AT
A | LATIN CAPITAL LETTER A
B | LATIN CAPITAL LETTER B
C | LATIN CAPITAL LETTER C
D | LATIN CAPITAL LETTER D
E | LATIN CAPITAL LETTER E
F | LATIN CAPITAL LETTER F
G | LATIN CAPITAL LETTER G
H | LATIN CAPITAL LETTER H
I | LATIN CAPITAL LETTER I
J | LATIN CAPITAL LETTER J
K | LATIN CAPITAL LETTER K
L | LATIN CAPITAL LETTER L
M | LATIN CAPITAL LETTER M
N | LATIN CAPITAL LETTER N
O | LATIN CAPITAL LETTER O
P | LATIN CAPITAL LETTER P
Q | LATIN CAPITAL LETTER Q
R | LATIN CAPITAL LETTER R
S | LATIN CAPITAL LETTER S
T | LATIN CAPITAL LETTER T
U | LATIN CAPITAL LETTER U
V | LATIN CAPITAL LETTER V
W | LATIN CAPITAL LETTER W
X | LATIN CAPITAL LETTER X
Y | LATIN CAPITAL LETTER Y
Z | LATIN CAPITAL LETTER Z
[ | LEFT SQUARE BRACKET
\ | REVERSE SOLIDUS
] | RIGHT SQUARE BRACKET
^ | CIRCUMFLEX ACCENT
_ | LOW LINE
` | GRAVE ACCENT
a | LATIN SMALL LETTER A
b | LATIN SMALL LETTER B
c | LATIN SMALL LETTER C
d | LATIN SMALL LETTER D
e | LATIN SMALL LETTER E
f | LATIN SMALL LETTER F
g | LATIN SMALL LETTER G
h | LATIN SMALL LETTER H
i | LATIN SMALL LETTER I
j | LATIN SMALL LETTER J
k | LATIN SMALL LETTER K
l | LATIN SMALL LETTER L
m | LATIN SMALL LETTER M
n | LATIN SMALL LETTER N
o | LATIN SMALL LETTER O
p | LATIN SMALL LETTER P
q | LATIN SMALL LETTER Q
r | LATIN SMALL LETTER R
s | LATIN SMALL LETTER S
t | LATIN SMALL LETTER T
u | LATIN SMALL LETTER U
v | LATIN SMALL LETTER V
w | LATIN SMALL LETTER W
x | LATIN SMALL LETTER X
y | LATIN SMALL LETTER Y
z | LATIN SMALL LETTER Z
{ | LEFT CURLY BRACKET
| | VERTICAL LINE
} | RIGHT CURLY BRACKET
~ | TILDE
  | NO-BREAK SPACE
¡ | INVERTED EXCLAMATION MARK
¢ | CENT SIGN
£ | POUND SIGN
¤ | CURRENCY SIGN
¥ | YEN SIGN
¦ | BROKEN BAR
§ | SECTION SIGN
¨ | DIAERESIS
© | COPYRIGHT SIGN
ª | FEMININE ORDINAL INDICATOR
« | LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
¬ | NOT SIGN
­ | SOFT HYPHEN
® | REGISTERED SIGN
¯ | MACRON
° | DEGREE SIGN
± | PLUS-MINUS SIGN
² | SUPERSCRIPT TWO
³ | SUPERSCRIPT THREE
´ | ACUTE ACCENT
µ | MICRO SIGN
¶ | PILCROW SIGN
· | MIDDLE DOT
¸ | CEDILLA
¹ | SUPERSCRIPT ONE
º | MASCULINE ORDINAL INDICATOR
» | RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
¼ | VULGAR FRACTION ONE QUARTER
½ | VULGAR FRACTION ONE HALF
¾ | VULGAR FRACTION THREE QUARTERS
¿ | INVERTED QUESTION MARK
À | LATIN CAPITAL LETTER A WITH GRAVE
Á | LATIN CAPITAL LETTER A WITH ACUTE
Â | LATIN CAPITAL LETTER A WITH CIRCUMFLEX
Ã | LATIN CAPITAL LETTER A WITH TILDE
Ä | LATIN CAPITAL LETTER A WITH DIAERESIS
Å | LATIN CAPITAL LETTER A WITH RING ABOVE
Æ | LATIN CAPITAL LETTER AE
Ç | LATIN CAPITAL LETTER C WITH CEDILLA
È | LATIN CAPITAL LETTER E WITH GRAVE
É | LATIN CAPITAL LETTER E WITH ACUTE
Ê | LATIN CAPITAL LETTER E WITH CIRCUMFLEX
Ë | LATIN CAPITAL LETTER E WITH DIAERESIS
Ì | LATIN CAPITAL LETTER I WITH GRAVE
Í | LATIN CAPITAL LETTER I WITH ACUTE
Î | LATIN CAPITAL LETTER I WITH CIRCUMFLEX
Ï | LATIN CAPITAL LETTER I WITH DIAERESIS
Ð | LATIN CAPITAL LETTER ETH
Ñ | LATIN CAPITAL LETTER N WITH TILDE
Ò | LATIN CAPITAL LETTER O WITH GRAVE
Ó | LATIN CAPITAL LETTER O WITH ACUTE
Ô | LATIN CAPITAL LETTER O WITH CIRCUMFLEX
Õ | LATIN CAPITAL LETTER O WITH TILDE
Ö | LATIN CAPITAL LETTER O WITH DIAERESIS
× | MULTIPLICATION SIGN
Ø | LATIN CAPITAL LETTER O WITH STROKE
Ù | LATIN CAPITAL LETTER U WITH GRAVE
Ú | LATIN CAPITAL LETTER U WITH ACUTE
Û | LATIN CAPITAL LETTER U WITH CIRCUMFLEX
Ü | LATIN CAPITAL LETTER U WITH DIAERESIS
Ý | LATIN CAPITAL LETTER Y WITH ACUTE
Þ | LATIN CAPITAL LETTER THORN
ß | LATIN SMALL LETTER SHARP S
à | LATIN SMALL LETTER A WITH GRAVE
á | LATIN SMALL LETTER A WITH ACUTE
â | LATIN SMALL LETTER A WITH CIRCUMFLEX
ã | LATIN SMALL LETTER A WITH TILDE
ä | LATIN SMALL LETTER A WITH DIAERESIS
å | LATIN SMALL LETTER A WITH RING ABOVE
æ | LATIN SMALL LETTER AE
ç | LATIN SMALL LETTER C WITH CEDILLA
è | LATIN SMALL LETTER E WITH GRAVE
é | LATIN SMALL LETTER E WITH ACUTE
ê | LATIN SMALL LETTER E WITH CIRCUMFLEX
ë | LATIN SMALL LETTER E WITH DIAERESIS
ì | LATIN SMALL LETTER I WITH GRAVE
í | LATIN SMALL LETTER I WITH ACUTE
î | LATIN SMALL LETTER I WITH CIRCUMFLEX
ï | LATIN SMALL LETTER I WITH DIAERESIS
ð | LATIN SMALL LETTER ETH
ñ | LATIN SMALL LETTER N WITH TILDE
ò | LATIN SMALL LETTER O WITH GRAVE
ó | LATIN SMALL LETTER O WITH ACUTE
ô | LATIN SMALL LETTER O WITH CIRCUMFLEX
õ | LATIN SMALL LETTER O WITH TILDE
ö | LATIN SMALL LETTER O WITH DIAERESIS
÷ | DIVISION SIGN
ø | LATIN SMALL LETTER O WITH STROKE
ù | LATIN SMALL LETTER U WITH GRAVE
ú | LATIN SMALL LETTER U WITH ACUTE
û | LATIN SMALL LETTER U WITH CIRCUMFLEX
ü | LATIN SMALL LETTER U WITH DIAERESIS
ý | LATIN SMALL LETTER Y WITH ACUTE
þ | LATIN SMALL LETTER THORN
ÿ | LATIN SMALL LETTER Y WITH DIAERESIS
Œ | LATIN CAPITAL LIGATURE OE
œ | LATIN SMALL LIGATURE OE
Š | LATIN CAPITAL LETTER S WITH CARON
š | LATIN SMALL LETTER S WITH CARON
Ÿ | LATIN CAPITAL LETTER Y WITH DIAERESIS
Ž | LATIN CAPITAL LETTER Z WITH CARON
ž | LATIN SMALL LETTER Z WITH CARON
ƒ | LATIN SMALL LETTER F WITH HOOK
ˆ | MODIFIER LETTER CIRCUMFLEX ACCENT
˜ | SMALL TILDE
– | EN DASH
— | EM DASH
‘ | LEFT SINGLE QUOTATION MARK
’ | RIGHT SINGLE QUOTATION MARK
‚ | SINGLE LOW-9 QUOTATION MARK
“ | LEFT DOUBLE QUOTATION MARK
” | RIGHT DOUBLE QUOTATION MARK
